model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.5700000000000001,0.0,0.025,0.0,0.32,0.0,0.08499999999999999,0.0,0.0,0.037383177570093455,0.27102803738317754,0.6915887850467289,0.0,0.01953125,3.1752117624253966,220.0,0.0256,0.02,0.021400000000000002,1,7.2,230.0,77.0,710.0,40.0,30.0,19.0,31.0
0.0,0.31578947368421056,0.02105263157894737,0.015789473684210527,0.0,0.18947368421052632,0.0,0.45789473684210524,0.0,0.0,0.5696202531645569,0.1772151898734177,0.2531645569620253,0.0,0.024561403508771933,3.052991499018328,660.0,0.028499999999999998,0.019,0.0158,3,7.9,120.0,44.0,190.0,200.0,320.0,11.0,40.0
0.0,0.23715415019762848,0.0,0.03557312252964427,0.0,0.11067193675889328,0.0,0.616600790513834,0.0,0.0,0.3278008298755187,0.5892116182572613,0.08298755186721991,0.0,0.01785714285714286,3.2713776391159826,660.0,0.0448,0.0253,0.024100000000000003,1,8.2,120.0,35.0,100.0,360.0,280.0,34.0,48.0
0.0,0.28571428571428575,0.01904761904761905,0.009523809523809525,0.0,0.1904761904761905,0.0,0.49523809523809526,0.0,0.0,0.6027397260273972,0.2054794520547945,0.1917808219178082,0.0,0.01928374655647383,3.1569948164262427,660.0,0.0363,0.020999999999999998,0.0219,3,7.9,120.0,49.0,200.0,240.0,470.0,7.5,43.0
0.0,0.216,0.016,0.011999999999999999,0.0,0.09599999999999999,0.0,0.66,0.0,0.0,0.3526785714285714,0.45089285714285704,0.19642857142857142,0.0,0.012019230769230768,3.2260415876127744,660.0,0.041600000000000005,0.025,0.022400000000000003,3,7.6,110.0,29.0,210.0,380.0,280.0,9.9,30.0
0.0,0.7826086956521741,0.0,0.005434782608695654,0.0,0.07608695652173915,0.0,0.12500000000000003,0.010869565217391308,0.0,0.018072289156626505,0.19879518072289157,0.7831325301204819,0.0,0.014423076923076922,3.0890477168844663,573.0,0.0208,0.018399999999999996,0.0166,1,7.2,291.0,15.9,630.0,53.3,12.0,3.21,16.1
0.0,0.056910569105691054,0.0,0.0040650406504065045,0.0,0.056910569105691054,0.0,0.8821138211382114,0.0,0.0,0.5220883534136547,0.28514056224899603,0.19277108433734938,0.002150537634408602,0.015053763440860212,3.2418501564182187,430.0,0.04650000000000001,0.0246,0.0249,1,8.1,30.0,18.0,230.0,500.0,460.0,2.9,44.0
0.0,0.017391304347826084,0.0,0.005797101449275362,0.0,0.005797101449275362,0.0,0.9710144927536232,0.0,0.0,0.2212121212121212,0.5969696969696969,0.18181818181818182,0.0015408320493066256,0.01078582434514638,3.4184796303820395,430.0,0.0649,0.0345,0.033,1,8.9,13.0,2.5,290.0,770.0,260.0,8.8,43.0
0.0,0.05426356589147287,0.0,0.0038759689922480624,0.0,0.0310077519379845,0.0,0.9108527131782945,0.0,0.0,0.38521400778210113,0.4202334630350194,0.19455252918287935,0.004073319755600815,0.020366598778004074,3.2871267956657966,18.7,0.0491,0.0258,0.025700000000000004,1,7.9,29.0,10.0,240.0,540.0,350.0,5.2,61.0
0.0,0.13559322033898302,0.0,0.011299435028248588,0.0,0.04519774011299435,0.0,0.807909604519774,0.0,0.0,0.43888888888888894,0.3277777777777778,0.23333333333333334,0.0030581039755351682,0.018348623853211007,3.1100787940434245,101.0,0.0327,0.0177,0.018,1,7.5,48.0,10.0,200.0,330.0,280.0,7.0,37.0
0.0,0.32031250000000006,0.0,0.003906250000000001,0.0,0.1484375,0.0,0.52734375,0.0,0.0,0.07474747474747474,0.08484848484848484,0.8404040404040404,0.0029154518950437317,0.007288629737609329,3.543814553350874,123.0,0.06860000000000001,0.051199999999999996,0.0495,1,8.0,330.0,93.0,2000.0,620.0,130.0,6.7,28.0
0.0,0.45090909090909087,0.0,0.007272727272727273,0.0,0.22545454545454544,0.0,0.31636363636363635,0.0,0.0,0.03508771929824561,0.08771929824561403,0.8771929824561404,0.0028901734104046246,0.008670520231213872,3.2857815765686365,440.0,0.0346,0.0275,0.0285,1,6.3,250.0,75.0,1200.0,200.0,35.0,6.6,17.0
0.0,0.18085106382978725,0.0,0.0053191489361702135,0.0,0.3510638297872341,0.0,0.46276595744680854,0.0,0.0,0.427027027027027,0.45405405405405397,0.11891891891891891,0.0,0.021943573667711595,3.119826268593213,525.0,0.031900000000000005,0.018799999999999997,0.018500000000000003,1,7.9,68.0,80.0,110.0,200.0,280.0,5.0,40.0
0.0,0.33333333333333337,0.0,0.010638297872340425,0.0,0.3475177304964539,0.0,0.30851063829787234,0.0,0.0,0.745644599303136,0.2055749128919861,0.04878048780487806,0.0,0.02100840336134454,3.255430897192115,61.0,0.047599999999999996,0.0282,0.028699999999999996,1,7.7,190.0,120.0,70.0,200.0,760.0,11.0,59.0
0.0,0.3152709359605912,0.0,0.059113300492610835,0.0,0.3054187192118227,0.0,0.32019704433497537,0.0,0.0,0.49206349206349204,0.4021164021164021,0.10582010582010583,0.0,0.036253776435045314,3.1446577895794166,488.0,0.0331,0.0203,0.0189,1,7.4,130.0,75.0,92.0,150.0,330.0,46.0,75.0
0.0,0.16591928251121077,0.0,0.004484304932735426,0.002242152466367713,0.13004484304932734,0.0,0.6973094170403588,0.0,0.0,0.7112068965517241,0.0646551724137931,0.22413793103448273,0.0,0.005025125628140704,3.452096530750358,450.0,0.0796,0.0446,0.046400000000000004,0,7.6,147.0,70.6,502.0,715.0,1170.0,7.09,21.7
0.0,0.035294117647058816,0.0,0.0058823529411764705,0.0,0.011764705882352941,0.0,0.9470588235294117,0.0,0.0,0.47674418604651164,0.3023255813953488,0.22093023255813954,0.0,0.015432098765432096,3.088711599418784,150.0,0.032400000000000005,0.017,0.0172,1,8.0,13.0,2.9,180.0,370.0,290.0,5.2,32.0
0.0,0.26415094339622647,0.0,0.0037735849056603783,0.0,0.369811320754717,0.0,0.36226415094339626,0.0,0.0,0.30141843971631205,0.25886524822695034,0.4397163120567375,0.0,0.024330900243309004,3.2817419848918954,100.0,0.0411,0.026499999999999996,0.028200000000000003,1,7.5,140.0,120.0,600.0,220.0,300.0,3.9,59.0
0.0,0.16374269005847952,0.0,0.011695906432748537,0.0,0.14035087719298245,0.0,0.6842105263157895,0.0,0.0,0.3756613756613757,0.5608465608465608,0.06349206349206349,0.0,0.023809523809523808,3.140993477536975,36.0,0.033600000000000005,0.0171,0.0189,1,8.1,58.0,28.0,53.0,270.0,250.0,8.4,47.0
0.0,0.23404255319148937,0.0,0.005319148936170213,0.0,0.2127659574468085,0.0,0.5478723404255319,0.0,0.0,0.18888888888888888,0.5,0.3111111111111111,0.0,0.009966777408637873,3.1249296706163636,280.0,0.0301,0.0188,0.018,1,7.2,89.1,49.6,270.0,237.0,120.0,2.61,20.5
0.0,0.11851851851851852,0.0,0.003703703703703704,0.0,0.07407407407407407,0.0,0.8037037037037037,0.0,0.0,0.30909090909090914,0.3054545454545455,0.3854545454545455,0.002123142250530786,0.008492569002123144,3.292479542562667,40.0,0.047099999999999996,0.027,0.027499999999999997,1,8.3,64.0,24.0,510.0,500.0,300.0,3.6,27.0
0.0,0.3018867924528302,0.0,0.0047169811320754715,0.0,0.16037735849056603,0.0,0.5330188679245282,0.0,0.0,0.14761904761904762,0.3190476190476191,0.5333333333333334,0.003095975232198142,0.015479876160990712,3.1880174782003476,140.0,0.0323,0.0212,0.020999999999999998,1,7.6,130.0,42.0,540.0,260.0,110.0,5.4,31.0
0.0,0.3833333333333333,0.0,0.008333333333333333,0.0020833333333333333,0.07916666666666666,0.0,0.5270833333333333,0.0,0.0,0.22700587084148727,0.11937377690802349,0.6536203522504892,0.0013831258644536654,0.012448132780082987,3.5408719163826965,111.0,0.0723,0.048,0.0511,1,7.1,370.0,46.0,1600.0,580.0,410.0,14.0,52.0
0.0,0.33707865168539325,0.0,0.0037453183520599256,0.0,0.11985018726591762,0.0,0.5393258426966292,0.0,0.0,0.2696245733788396,0.16382252559726962,0.5665529010238908,0.0,0.021176470588235293,3.304029750315387,121.0,0.0425,0.026699999999999998,0.0293,1,7.3,180.0,40.0,800.0,330.0,280.0,5.0,57.0
0.0,0.09523550379581508,0.0,0.006802535985415363,0.0,0.06802535985415363,2.721014394166145e-05,0.8299093902206743,0.0,0.0,0.09210526315789475,0.27631578947368424,0.631578947368421,0.003999968000255998,0.03999968000255998,3.078722243837537,65.0,0.0250002,0.0147004,0.015199999999999998,1,7.9,29.0,13.0,460.0,280.0,51.0,4.7,61.0
0.0,0.2903225806451613,0.0,0.010752688172043012,0.0,0.11827956989247314,0.0,0.5806451612903226,0.0,0.0,0.7542857142857143,0.12000000000000001,0.12571428571428572,0.0,0.009523809523809523,3.0560326823784028,536.0,0.0315,0.0186,0.017499999999999998,1,8.0,110.0,28.0,110.0,250.0,470.0,8.7,20.0
0.0,0.2727272727272727,0.0202020202020202,0.00505050505050505,0.0,0.1111111111111111,0.0,0.5909090909090908,0.0,0.0,0.6323529411764706,0.15196078431372548,0.21568627450980393,0.0,0.011627906976744186,3.1197145932538644,266.0,0.0344,0.0198,0.0204,3,7.4,110.0,28.0,210.0,270.0,460.0,5.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.19653179190751444,0.43352601156069365,0.36994219653179194,0.0029239766081871343,0.038011695906432746,3.1600463369987115,676.0,0.0342,0.0187,0.0173,1,9.3,0.98,0.08,310.0,430.0,120.0,1.8,77.0
0.0,0.41434262948207173,0.0,0.003984063745019921,0.0,0.19920318725099603,0.0,0.38247011952191234,0.0,0.0,0.39453124999999994,0.22265625,0.38281249999999994,0.0,0.010389610389610391,3.232488222331924,223.0,0.03849999999999999,0.025099999999999997,0.0256,1,7.8,210.0,61.0,470.0,220.0,360.0,4.9,23.0
0.0,0.330188679245283,0.0,0.0047169811320754715,0.0,0.1320754716981132,0.0,0.5330188679245282,0.0,0.0,0.7072072072072071,0.12162162162162163,0.17117117117117117,0.0,0.008130081300813007,3.137573640485046,403.0,0.0369,0.0212,0.0222,1,7.7,140.0,35.0,180.0,260.0,560.0,5.1,20.0
0.0,0.4261168384879725,0.0,0.006872852233676976,0.0,0.18556701030927836,0.0,0.3814432989690722,0.0,0.0,0.3515358361774744,0.23208191126279862,0.416382252559727,0.0,0.009132420091324202,3.296124925416838,285.0,0.0438,0.0291,0.0293,1,7.5,248.0,66.0,590.0,255.0,365.0,6.4,26.0
0.0,0.29535864978902954,0.0,0.0042194092827004225,0.0,0.1687763713080169,0.0,0.5316455696202532,0.0,0.0,0.5344129554655871,0.1659919028340081,0.29959514170040485,0.0,0.010101010101010102,3.204835436043016,246.4,0.039599999999999996,0.0237,0.0247,1,7.8,140.0,48.0,360.0,290.0,470.0,5.3,25.0
0.0,0.7883211678832117,0.0,0.0036496350364963502,0.0,0.08029197080291971,0.0,0.12773722627737227,0.0,0.0,0.017361111111111112,0.13541666666666666,0.8472222222222223,0.0,0.02727272727272727,3.311801524907629,120.0,0.033,0.0274,0.0288,1,7.1,434.0,26.6,1170.0,80.9,16.8,3.56,53.4
0.0,0.41379310344827586,0.0,0.00574712643678161,0.0,0.19540229885057472,0.0,0.38505747126436785,0.0,0.0,0.3146067415730337,0.32584269662921345,0.35955056179775285,0.0,0.011111111111111108,3.089633398211496,295.0,0.027000000000000003,0.0174,0.0178,1,7.6,145.0,41.0,305.0,155.0,200.0,5.0,18.0
0.0,0.22115384615384617,0.0,0.004807692307692308,0.0,0.125,0.0,0.6490384615384616,0.0,0.0,0.4644549763033175,0.14691943127962084,0.3886255924170616,0.0,0.008695652173913042,3.1461516730631987,509.0,0.0345,0.0208,0.0211,1,7.7,91.0,32.0,390.0,310.0,350.0,4.4,21.0
0.0,0.3076923076923077,0.0,0.004524886877828055,0.0,0.16289592760180996,0.0,0.5248868778280543,0.0,0.0,0.527027027027027,0.19369369369369369,0.27927927927927926,0.0,0.010989010989010992,3.1668744831908504,190.0,0.036399999999999995,0.022099999999999998,0.0222,1,7.6,137.0,43.1,295.0,267.0,417.0,5.5,26.2
0.0,0.040268456375838924,0.0,0.008389261744966443,0.0016778523489932888,0.0,0.0,0.9496644295302012,0.0,0.0,0.3203252032520325,0.0032520325203252032,0.6764227642276422,0.011952191235059759,0.00099601593625498,3.6219402275051538,2868.0,0.1004,0.0596,0.0615,1,10.5,47.0,0.1,2000.0,1300.0,700.0,20.0,3.1
0.0,0.14857142857142858,0.0,0.005714285714285715,0.0,0.10285714285714287,0.0,0.7428571428571429,0.0,0.0,0.5394736842105263,0.17105263157894735,0.2894736842105263,0.0,0.027491408934707907,3.047725870934578,700.0,0.029099999999999997,0.017499999999999998,0.015200000000000002,1,7.8,51.0,22.0,210.0,300.0,290.0,2.8,50.0
0.0,0.3151862464183381,0.0,0.0057306590257879654,0.0,0.040114613180515755,0.0,0.6332378223495703,0.0057306590257879654,0.0,0.24068767908309455,0.10601719197707737,0.6532951289398281,0.005692599620493358,0.005692599620493358,3.385152332750883,150.0,0.052700000000000004,0.0349,0.0349,1,7.6,220.0,18.0,1100.0,510.0,300.0,6.2,19.0
0.0,0.23414634146341465,0.0,0.004878048780487806,0.0,0.12682926829268293,0.0,0.6341463414634146,0.0,0.0,0.4352331606217617,0.10880829015544043,0.455958549222798,0.0,0.012461059190031154,3.1216117069471867,282.0,0.0321,0.020499999999999997,0.019299999999999998,1,8.1,97.0,31.0,420.0,300.0,300.0,5.1,25.0
0.0,0.13821138211382114,0.0,0.0040650406504065045,0.0,0.11382113821138211,0.0,0.7439024390243902,0.0,0.0,0.6282051282051283,0.19230769230769232,0.1794871794871795,0.0,0.004651162790697676,3.1891876338508136,123.0,0.04299999999999999,0.0246,0.023399999999999997,1,8.4,70.0,33.0,200.0,420.0,520.0,4.0,15.0
0.0,0.19402985074626866,0.0,0.00373134328358209,0.0,0.07089552238805971,0.0,0.7313432835820896,0.0,0.0,0.5984555984555985,0.023166023166023165,0.3783783783783784,0.002247191011235955,0.003370786516853932,3.521000578956133,243.0,0.08900000000000001,0.053599999999999995,0.0518,1,7.4,210.0,47.0,940.0,900.0,1100.0,8.3,19.0
0.0,0.2341463414634146,0.0,0.004878048780487805,0.0,0.14634146341463414,0.0,0.6146341463414634,0.0,0.0,0.2428571428571429,0.23333333333333334,0.5238095238095238,0.0,0.012307692307692311,3.1686827410193628,200.0,0.032499999999999994,0.0205,0.020999999999999998,1,7.7,96.0,37.0,530.0,290.0,180.0,3.6,27.0
0.0,0.4166666666666667,0.0,0.008333333333333333,0.0,0.175,0.0,0.39999999999999997,0.0,0.0,0.2589641434262948,0.28685258964143423,0.4541832669322709,0.0,0.010899182561307903,3.2393225324180674,185.0,0.036699999999999997,0.024,0.0251,1,7.9,200.0,51.0,550.0,220.0,230.0,6.4,22.0
0.0,0.09282700421940929,0.0,0.0042194092827004225,0.0,0.02531645569620253,0.0,0.8776371308016878,0.0,0.0,0.5466101694915254,0.0635593220338983,0.3898305084745763,0.004796163069544365,0.004796163069544365,3.1929379508220124,302.6,0.0417,0.0237,0.0236,1,7.7,45.0,6.7,440.0,480.0,460.0,4.1,13.0
0.0,0.1623488773747841,0.0,0.0034542314335060447,0.0,0.12089810017271156,0.0,0.7132987910189983,0.0,0.0,0.27704918032786885,0.14262295081967213,0.580327868852459,0.0010695187165775401,0.0042780748663101605,3.6134841054725,40.0,0.0935,0.05790000000000001,0.061,1,7.7,190.0,85.0,1700.0,950.0,600.0,6.2,24.0
