model_Ba_molL_frac,model_Ca_molL_frac,model_Fe_molL_frac,model_K_molL_frac,model_Li_molL_frac,model_Mg_molL_frac,model_Mn_molL_frac,model_Na_molL_frac,model_Sr_molL_frac,model_Br_molL_frac,model_Cl_molL_frac,model_C_molL_frac,model_SO4_molL_frac,model_B_molL_frac,model_Si_molL_frac,TDS_log10,well_depth_ft,total_ion_molL,total_cations_eq,total_anions_eq,samp_id,Alk_mgL,state_alpha,Cluster,ph,Ca_mgL,Mg_mgL,SO4_mgL,Na_mgL,Cl_mgL,K_mgL,Si_mgL
0.0,0.7306666666666666,0.015999999999999997,0.007999999999999998,0.0,0.05866666666666666,0.0,0.18666666666666665,0.0,0.0,0.901595744680851,0.007978723404255319,0.09042553191489361,0.0017114495978093444,0.0005134348793428033,3.3321589267248544,1950.0,0.05843,0.037500000000000006,0.0376,Proprietary,10.0,NM,1,6.6,550.0,26.0,160.0,160.0,1200.0,11.0,1.8
0.0,0.27272727272727276,0.0,0.05909090909090909,0.0,0.15454545454545454,0.0,0.5136363636363637,0.0,0.0,0.46976744186046504,0.29767441860465116,0.23255813953488372,0.0,0.021563342318059297,3.1877816985120986,1200.0,0.03710000000000001,0.022,0.021500000000000002,Proprietary,331.0,NM,1,8.5,120.0,41.0,240.0,260.0,360.0,52.0,50.0
0.0,0.2692307692307693,0.0,0.011538461538461537,0.0,0.06923076923076923,0.0,0.6499999999999999,0.0,0.0,0.3268482490272373,0.042801556420233464,0.6303501945525292,0.0,0.002544529262086514,3.236293166765391,450.0,0.0393,0.026,0.0257,Proprietary,55.0,NM,1,7.7,140.0,23.0,780.0,390.0,300.0,12.0,8.8
0.0,0.24383368569415076,0.0,0.016208597603946436,0.0,0.09302325581395347,0.0,0.6469344608879491,0.0,0.0,0.5548567435359888,0.006289308176100628,0.4388539482879105,0.003902862098872506,0.0,3.9544746164084787,661.0,0.23060000000000003,0.14190000000000003,0.1431,Proprietary,57.0,NM,0,8.4,690.0,160.0,3000.0,2100.0,2800.0,91.0,1.7
0.0,0.03692307692307692,0.0,0.003076923076923077,0.0,0.012307692307692308,0.0,0.9476923076923077,0.0,0.0,0.09999999999999999,0.10588235294117646,0.7941176470588235,0.0,0.0038167938931297717,3.3803599801941515,2450.0,0.052399999999999995,0.0325,0.034,Proprietary,180.0,NM,0,8.2,26.0,5.8,1300.0,710.0,120.0,5.4,14.0
0.0,0.6169154228855721,0.0,0.014925373134328356,0.0,0.16915422885572137,0.0,0.19900497512437812,0.0,0.0,0.06976744186046513,0.31627906976744186,0.6139534883720931,0.0,0.028673835125448032,3.192615618885356,93.0,0.027899999999999998,0.0201,0.0215,Proprietary,300.0,NM,1,7.2,250.0,42.0,630.0,91.0,53.0,11.0,51.0
0.0,0.010610079575596818,0.0,0.003978779840848806,0.0,0.0026525198938992045,0.0,0.9827586206896552,0.0,0.0,0.875,0.034523809523809526,0.09047619047619049,0.0,0.0006443298969072166,3.6888673685117155,394.0,0.15519999999999998,0.0754,0.08399999999999999,Proprietary,131.0,NM,0,7.4,16.0,1.8,360.0,1700.0,2600.0,13.0,4.9
0.0,0.5851063829787233,0.0,0.010638297872340425,0.0,0.1382978723404255,0.010638297872340425,0.2553191489361702,0.0,0.0,0.053191489361702135,0.4361702127659575,0.5106382978723405,0.0,0.022641509433962263,3.1533757154341697,60.0,0.0265,0.0188,0.018799999999999997,Proprietary,380.0,NM,1,7.4,220.0,31.0,460.0,110.0,36.0,8.6,39.0
0.0,0.4745762711864407,0.0,0.00211864406779661,0.0,0.1271186440677966,0.0,0.39618644067796616,0.0,0.0,0.2552742616033755,0.08649789029535866,0.6582278481012658,0.0,0.015197568389057751,3.5093911238369015,50.0,0.0658,0.0472,0.0474,Proprietary,189.0,NM,1,7.31,450.0,74.0,1500.0,430.0,430.0,4.1,58.0
0.0,0.9585798816568046,0.0,0.0029585798816568047,0.0,0.029585798816568046,0.0,0.008875739644970413,0.0,0.0,0.020833333333333336,0.11011904761904763,0.8690476190476191,0.0,0.01634877384196185,3.376148199013351,77.0,0.0367,0.033800000000000004,0.0336,Proprietary,175.0,NM,1,7.6,650.0,13.0,1400.0,8.0,26.0,5.4,34.0
